no.	title	genre	content	age
46	백호랑, 박혬	스토리, 판타지	서쪽의 신수 백호랑. 과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행중	전체연령가
47	뱀파이어의 꽃휴재, 카나리아&동물	스토리, 로맨스	500년 만에 인간 세상에 나타난 뱀파이어, 루베르이와 인간 계약자 서영의'뱀파이어 꽃'을 찾는 숨 막히는 모험과 사랑을 그린 뱀파이어 로맨스.※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※	12세 이용가
48	블루투스, 국승원	스토리, 판타지	탐사선의 폭발!우주 한가운데 홀로 남겨진 우주 비행사.	전체연령가
49	여신강림, 야옹이	스토리, 로맨스	누구에게나 비밀은 있다! 그렇다면 여신에게는 어떤 비밀이?!	12세 이용가
50	마음의소리, 조석	에피소드, 개그	솔직 담백 최강의 개그 만화 <마음의 소리>날 가져요 엉엉	전체연령가
51	랜덤채팅의 그녀!, 박은혁	스토리, 드라마	랜덤채팅만 하던 준우에게 온 기적!과연 그녀에게 다가갈수 있을까?!	15세 이용가
52	체크포인트, 송가&은소	스토리, 드라마	내 인생에 세이브 포인트가 있다면?하루에도 수십 번씩 시간을 되돌리는 남자.	12세 이용가
53	신도림, 오세형	스토리, 액션	세상이 무너지고 세워진 지하도시 신도림그곳에 들어가지 못하고 생존한 소년들이 지하도시의 비밀을 파헤친다	15세 이용가
54	사이드킥 2~3휴재, 신의철	스토리, 판타지	슈퍼히어로의 조수 '사이드킥' 악당 빌런들과 맞서 싸우는 슈퍼히어로와사이드킥들의 이야기!	15세 이용가
55	바른연애 길잡이, 남수	스토리, 로맨스	바른 생활 만렙 정바름연애는 레벨 1부터?!2017 <청춘로맨스 대전> 최우수상 수상작	전체연령가
56	사신소년, 류	스토리, 액션	수명을 대가로 죽은 자의 능력을 빌리는 소년	15세 이용가
57	신의 언어, 장래혁	스토리, 판타지	퇴마계의 신개념 영웅!프로그래머 난새의 마계 전투가 시작된다!	12세 이용가
58	원주민 공포만화, 원주민	스토리, 스릴러	끝까지 방심하지 말 것!당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다!	15세 이용가
59	하루만 네가 되고 싶어, 삼	스토리, 판타지	'완벽한 인생이었다, 그 애가 나타나기 전까지는'반전에 반전을 거듭하는 치밀한 궁중 서스펜스	전체연령가
60	빙탕후루, 장희&주호민	에피소드, 판타지	<신과 함께> 주호민 작가의 신작! 잔인하고 무자비한 환상 속 요괴들이 현세를 어지럽히는 중국 송나라귀안도사와 여연이 팔귀 퇴치의 여정을 떠난다.	15세 이용가
61	은주의 방 2~3부, 노란구미	스토리, 드라마	인테리어에서 연애까지,은주의 라이프 체인지 스토리	전체연령가
62	윌유메리미, 마인드C	에피소드, 일상	외모는 상남자, 마음은 감성소녀 윌.외모는 청순녀, 마음은 터프가이 메리! 서울 부산 띠동갑 커플의 리얼 연애 일기	전체연령가
63	중증외상센터 : 골든 아워, 한산이가&홍비치라	스토리, 드라마	살 수 있는 환자들이 죽어 가고 있다. 이제 더는 그런 일이 없도록 하겠다.사명감 있는 또라이. 중증외상센터의 난폭한 천사. 외상외과 전문의 백강혁, 그의 중증외상센터 되살리기 프로젝트.	15세 이용가
64	에이머, 구동인	스토리, 판타지	작은 우연은 역사를 만든다.지구를 침공한 이성인 팜킨 일당과, 그들을 막아선 초월자 에이머와 지구인의 이야기!	전체연령가
